,Unnamed: 0,Unnamed: 0.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor
247,247,247,AsKO3,As,K,0,not balanced,not balanced,0.52,1.38,orthorhombic,-1.727,-0.173,-,15.098,3.052,4.836,5.454,11.449,90,90,90,-9.214,1.0222222222,0.48435519439999997,9.81,4.341,2.18,0.82,0.4883615179
254,254,254,AsNaO3,As,Na,0,not balanced,not balanced,0.52,1.02,orthorhombic,-1.63,0.131,-,12.895,2.122,5.116,5.131,9.824,90,90,90,-9.344,0.7555555556,0.5579281354,9.81,5.138999999999999,2.18,0.93,0.5610103388000001
267,267,267,AsRbO3,As,Rb,0,not balanced,not balanced,0.52,1.52,orthorhombic,-1.728,-0.199,-,16.722,3.147,4.944,5.705,11.859,90,90,90,-14.179,1.1259259259,0.4607281118,9.81,4.177,2.18,0.82,0.46494692460000003
320,320,320,AuKO3,Au,K,0,element not in BV,element not in BV,0.93,1.38,orthorhombic,-0.361,0.446,-,18.928,0.666,6.188,6.317,9.684,90,90,90,-9.922,1.0222222222,0.5905507184000001,9.225,4.341,2.54,0.82,0.5926470504
328,328,328,AuNbO3,Au,Nb,0,element not in BV,element not in BV,0.93,0.68,rhombohedral,-1.71,0.319,0,12.368,0.634,5.718,5.718,5.718,57.2,57.2,57.2,3.792,0.5037037037,0.7941888971,9.225,6.88,2.54,1.6,0.792095577
333,333,333,AuPaO3,Au,Pa,0,element not in BV,element not in BV,0.93,0.91,rhombohedral,-2.093,-0.14,0,15.048,1.537,6.121,6.121,6.121,56.9,56.9,56.9,2.677,0.6740740741,0.7133643633,9.225,5.89,2.54,1.5,0.7132289178
350,350,350,AuTaO3,Au,Ta,0,element not in BV,element not in BV,0.93,0.68,rhombohedral,-1.935,0.303,0,12.233,1.182,5.669,5.669,5.669,57.8,57.8,57.8,3.741,0.5037037037,0.7941888971,9.225,7.89,2.54,1.5,0.792095577
358,358,358,AuUO3,Au,U,0,element not in BV,element not in BV,0.93,0.85,orthorhombic,-2.267,0.237,0.2,14.996,1.753,5.813,6.082,8.484,90,90,90,2.881,0.6296296296,0.732819755,9.225,6.05,2.54,1.38,0.7322483556
401,401,401,BNbO3,B,Nb,0,1,5,0.27,0.64,cubic,-1.19,1.383,-0.001,12.499,1.744,3.968,3.968,3.968,90,90,90,4.31,0.47407407409999996,0.5756346661,8.298,6.88,2.04,1.6,0.5788570219
406,406,406,BPaO3,B,Pa,0,element not in BV,element not in BV,0.27,0.91,cubic,-1.378,1.368,0,16.389,1.515,4.344,4.344,4.344,90,90,90,4.028,0.6740740741,0.5068641529,8.298,5.89,2.04,1.5,0.5111984089
423,423,423,BTaO3,B,Ta,0,1,5,0.27,0.64,cubic,-1.443,1.307,0,12.282,2.039,3.945,3.945,3.945,90,90,90,5.114,0.47407407409999996,0.5756346661,8.298,7.89,2.04,1.5,0.5788570219
431,431,431,BUO3,B,U,0,1,5,0.27,0.76,cubic,-1.577,1.601,0.2,15.778,1.741,4.289,4.289,4.289,90,90,90,4.164,0.5629629629999999,0.5428971495,8.298,6.05,2.04,1.38,0.5466982984000001
451,451,451,BaCrO3,Ba,Cr,0,2,4,1.61,0.55,orthorhombic,-2.461,0.123,0.4,12.39,0.258,5.607,5.607,7.882,90,90,90,1.778,0.40740740740000003,1.1015979328,5.212000000000001,6.766,0.89,1.66,1.0914827751
461,461,461,BaHfO3,Ba,Hf,1,2,4,1.61,0.71,cubic,-3.625,-0.247,0,14.549,3.687,4.174,4.174,4.174,90,90,90,6.962,0.5259259259000001,1.0160369283,5.212000000000001,6.65,0.89,1.3,1.0087163087
477,477,477,BaNpO3,Ba,Np,1,element not in BV,element not in BV,1.61,0.86,orthorhombic,-3.389,-0.089,0.6,17.299,2.57,6.233,6.273,8.849,90,90,90,4.436,0.637037037,0.9470751458,5.212000000000001,6.19,0.89,1.36,0.9417661112000001
479,479,479,BaPaO3,Ba,Pa,1,element not in BV,element not in BV,1.61,0.91,orthorhombic,-3.153,-0.219,0.2,17.997,2.695,6.316,6.361,8.959,90,90,90,6.391,0.6740740741,0.9261221559,5.212000000000001,5.89,0.89,1.5,0.9213815634
480,480,480,BaPbO3,Ba,Pb,1,2,4,1.61,0.78,orthorhombic,-1.947,-0.066,-,16.081,0.618,6.088,6.12,8.633,90,90,90,1.793,0.5777777778000001,0.9826460432999999,5.212000000000001,7.416,0.89,2.33,0.9763263354999999
484,484,484,BaPtO3,Ba,Pt,0,element not in BV,element not in BV,1.61,0.67,orthorhombic,-1.587,0.019,0,13.759,0.257,5.743,5.83,8.218,90,90,90,1.235,0.49629629630000005,1.0361564714,5.212000000000001,9.0,0.89,2.28,1.0282084112999998
485,485,485,BaPuO3,Ba,Pu,1,element not in BV,element not in BV,1.61,0.83,rhombohedral,-3.3,0,0.8,17.022,2.12,6.197,6.197,6.197,60.5,60.5,60.5,4.205,0.6148148148,0.9601082901000001,5.212000000000001,6.06,0.89,1.28,0.9544356104999999
492,492,492,BaSiO3,Ba,Si,0,not balanced,not balanced,1.61,0.4,cubic,-2.68,0.524,-,11.084,1.289,3.813,3.813,3.813,90,90,90,4.872,0.2962962963,1.1960206127,5.212000000000001,8.151,0.89,1.9,1.182439673
494,494,494,BaSnO3,Ba,Sn,1,2,4,1.61,0.69,cubic,-2.443,-0.052,-,14.338,0.883,4.154,4.154,4.154,90,90,90,4.152,0.5111111111,1.0259980747,5.212000000000001,7.343999999999999,0.89,1.96,1.0183690964
499,499,499,BaTeO3,Ba,Te,0,2,4,1.61,0.97,tetragonal,-2.056,0.129,-,16.187,0.743,4.249,4.249,4.483,90,90,90,3.391,0.7185185184999999,0.9021707207999999,5.212000000000001,9.009,0.89,2.1,0.8980554478
500,500,500,BaThO3,Ba,Th,1,2,4,1.61,0.94,orthorhombic,-3.62,-0.004,0,18.557,4.363,6.369,6.443,9.045,90,90,90,6.151,0.6962962963,0.9139895512,5.212000000000001,6.08,0.89,1.3,0.9095689792
501,501,501,BaTiO3,Ba,Ti,1,2,4,1.61,0.61,tetragonal,-3.288,-0.03,0,13.029,1.68,3.987,3.987,4.099,90,90,90,5.357,0.4518518519,1.0678755470999999,5.212000000000001,6.82,0.89,1.54,1.0589011997
504,504,504,BaUO3,Ba,U,1,2,4,1.61,0.89,orthorhombic,-3.46,-0.094,0.4,17.58,2.645,6.256,6.32,8.893,90,90,90,5.448,0.6592592593,0.9343911037,5.212000000000001,6.05,0.89,1.38,0.9294285639000001
510,510,510,BaZrO3,Ba,Zr,1,2,4,1.61,0.72,cubic,-3.477,-0.096,0,15.082,3.108,4.225,4.225,4.225,90,90,90,6.582,0.5333333333,1.0111285373,5.212000000000001,6.84,0.89,1.33,1.0039582129
520,520,520,BeCaO3,Be,Ca,0,not balanced,not balanced,0.45,1.0,orthorhombic,-2.398,0.093,-,10.423,2.65,5.074,5.731,7.168,90,90,90,-9.03,0.7407407407,0.5416137047,9.322000000000001,6.1129999999999995,1.57,1,0.5450614772
532,532,532,BeGdO3,Be,Gd,0,not balanced,not balanced,0.45,0.94,orthorhombic,-2.873,0.21,0,10.575,0.238,4.741,5.537,8.056,90,90,90,-5.439,0.6962962963,0.5558044568,9.322000000000001,6.15,1.57,1.2,0.5590374125
540,540,540,BeLaO3,Be,La,0,not balanced,not balanced,0.45,1.03,orthorhombic,-2.872,0.171,0,11.458,0.262,4.859,5.637,8.366,90,90,90,-5.623,0.762962963,0.5347866412,9.322000000000001,5.58,1.57,1.1,0.5383323231
565,565,565,BeSiO3,Be,Si,0,2,4,0.45,0.4,cubic,-1.794,1.243,-,8.185,0.352,3.446,3.446,3.446,90,90,90,4.114,0.2962962963,0.7273098320999999,9.322000000000001,8.151,1.57,1.9,0.7267486362000001
585,585,585,BiAgO3,Bi,Ag,0,3,3,1.38,0.75,orthorhombic,-0.816,0.065,-,13.495,0.357,5.78,6.05,7.719,90,90,90,-0.274,0.5555555556,0.9192388155,7.289,7.5760000000000005,2.02,1.93,0.9143055123999999
586,586,586,BiAlO3,Bi,Al,1,3,3,1.38,0.54,orthorhombic,-2.319,0.069,-,10.885,2.652,5.335,5.391,7.569,90,90,90,4.691,0.4,1.0213764617,7.289,5.986000000000001,2.02,1.61,1.0132767276999999
587,587,587,BiAsO3,Bi,As,0,3,3,1.38,0.58,orthorhombic,-1.232,0.228,-,13.453,0.33,5.546,6.004,8.081,90,90,90,1.801,0.4296296296,1.0002080376,7.289,9.81,2.02,2.18,0.9928064907999999
589,589,589,BiBO3,Bi,B,0,not balanced,not balanced,1.38,0.27,cubic,-1.178,0.944,-,8.995,2.442,3.556,3.556,3.556,90,90,90,3.534,0.2,1.191605872,7.289,8.298,2.02,2.04,1.1770999112
596,596,596,BiCoO3,Bi,Co,0,3,3,1.38,0.61,orthorhombic,-1.249,0.136,0,11.625,0.441,5.349,5.666,7.671,90,90,90,2.897,0.4518518519,0.9848987309,7.289,7.86,2.02,1.88,0.9779884834
597,597,597,BiCrO3,Bi,Cr,0,3,3,1.38,0.62,orthorhombic,-1.962,0.016,0.6,11.928,1.56,5.43,5.647,7.781,90,90,90,3.843,0.4592592593,0.979899245,7.289,6.766,2.02,1.66,0.9731469562999999
