,Unnamed: 0,Unnamed: 0.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor
598,598,598,BiCsO3,Bi,Cs,0,not balanced,not balanced,1.38,1.67,orthorhombic,-1.214,0.188,-,21.381,1.054,5.406,6.019,13.142,90,90,90,-3.043,1.2370370370000001,0.6392057989,7.289,3.8939999999999997,2.02,0.79,0.6403116781
603,603,603,BiFeO3,Bi,Fe,1,3,3,1.38,0.65,orthorhombic,-1.552,0.017,1,12.067,1.283,5.447,5.675,7.808,90,90,90,2.587,0.4814814815,0.9652007562999999,7.289,7.87,2.02,1.83,0.9589057812999999
604,604,604,BiGaO3,Bi,Ga,0,3,3,1.38,0.62,tetragonal,-1.759,0.04,-,12.617,2.053,3.687,3.687,4.642,90,90,90,4.012,0.4592592593,0.979899245,7.289,5.999,2.02,1.81,0.9731469562999999
610,610,610,BiInO3,Bi,In,1,3,3,1.38,0.8,orthorhombic,-1.621,0.038,-,13.878,2.645,5.644,6.039,8.144,90,90,90,0.639,0.5925925926,0.8978611687000001,7.289,5.7860000000000005,2.02,1.78,0.8935258417
612,612,612,BiKO3,Bi,K,0,not balanced,not balanced,1.38,1.38,orthorhombic,-1.209,0.241,-,16.576,0.673,4.63,5.553,12.894,90,90,90,-3.908,1.0222222222,0.7071067812,7.289,4.341,2.02,0.82,0.7071067812
615,615,615,BiLuO3,Bi,Lu,0,3,3,1.38,0.86,orthorhombic,-2.686,0.032,0,14.19,2.947,5.682,6.059,8.243,90,90,90,0.295,0.637037037,0.8734848473000001,7.289,5.4259,2.02,1.27,0.8698039167
619,619,619,BiNaO3,Bi,Na,0,not balanced,not balanced,1.38,1.02,orthorhombic,-1.275,0.18,-,13.664,0.609,5.133,5.479,9.717,90,90,90,-5.244,0.7555555556,0.8145154062000001,7.289,5.138999999999999,2.02,0.93,0.8122962197
632,632,632,BiRbO3,Bi,Rb,0,not balanced,not balanced,1.38,1.52,orthorhombic,-1.205,0.218,-,18.866,0.971,5.115,5.768,12.79,90,90,90,-9.484,1.1259259259,0.6726137675,7.289,4.177,2.02,0.82,0.6732044012999999
634,634,634,BiRhO3,Bi,Rh,0,3,3,1.38,0.67,orthorhombic,-1.182,0.056,0,12.332,0.513,5.403,5.865,7.783,90,90,90,0.707,0.49629629630000005,0.9556443131999999,7.289,7.46,2.02,2.28,0.9496409912
637,637,637,BiScO3,Bi,Sc,1,3,3,1.38,0.75,orthorhombic,-2.608,0.033,0,13.075,3.008,5.56,5.855,8.033,90,90,90,1.957,0.5555555556,0.9192388155,7.289,6.54,2.02,1.36,0.9143055123999999
648,648,648,BiTlO3,Bi,Tl,0,3,3,1.38,0.89,orthorhombic,-1.154,0.052,-,14.87,1.059,5.777,6.247,8.241,90,90,90,-1.519,0.6592592593,0.8617863896,7.289,6.108,2.02,1.62,0.8584091054999999
649,649,649,BiTmO3,Bi,Tm,0,3,3,1.38,0.88,cubic,-2.135,0.568,0,15.235,0.282,4.239,4.239,4.239,90,90,90,-0.198,0.6518518519,0.8656509025,7.289,6.184,2.02,1.25,0.8621740578
651,651,651,BiVO3,Bi,V,0,3,3,1.38,0.64,orthorhombic,-2.045,0.007,0.4,12.262,0.891,5.448,5.75,7.828,90,90,90,3.34,0.47407407409999996,0.9700510114,7.289,6.74,2.02,1.63,0.9636062998999999
670,670,670,CaCrO3,Ca,Cr,1,2,4,1.34,0.55,orthorhombic,-2.611,0.054,0.4,11.068,0.541,5.302,5.54,7.536,90,90,90,1.456,0.40740740740000003,1.0011143376,6.1129999999999995,6.766,1,1.66,0.9935756823
679,679,679,CaGeO3,Ca,Ge,0,2,4,1.34,0.53,cubic,-2.428,0.071,-,10.606,0.962,3.757,3.757,3.757,90,90,90,-,0.39259259259999996,1.0117644901,6.1129999999999995,7.899,1,2.01,1.0038718033
680,680,680,CaHfO3,Ca,Hf,1,2,4,1.34,0.71,orthorhombic,-3.669,-0.087,0,12.605,4.716,5.541,5.724,7.948,90,90,90,6.417,0.5259259259000001,0.9233578842,6.1129999999999995,6.65,1,1.3,0.9182334504999999
698,698,698,CaPaO3,Ca,Pa,0,element not in BV,element not in BV,1.34,0.91,rhombohedral,-3.149,0.039,0.2,16.035,1.851,6.124,6.124,6.124,59.4,59.4,59.4,5.379,0.6740740741,0.8416447971,6.1129999999999995,5.89,1,1.5,0.8387327188
699,699,699,CaPbO3,Ca,Pb,1,2,4,1.34,0.78,orthorhombic,-2.017,0.038,-,13.69,1.258,5.675,5.926,8.142,90,90,90,1.239,0.5777777778000001,0.8930127894,6.1129999999999995,7.416,1,2.33,0.8887488901
700,700,700,CaPdO3,Ca,Pd,0,2,4,1.34,0.62,orthorhombic,-1.714,-0.099,-,11.604,0.423,5.347,5.653,7.677,90,90,90,-0.257,0.4592592593,0.9655417468999999,6.1129999999999995,8.34,1,2.2,0.9591448418
703,703,703,CaPtO3,Ca,Pt,0,element not in BV,element not in BV,1.34,0.67,orthorhombic,-1.797,0.047,0,11.714,0.876,5.345,5.692,7.7,90,90,90,-0.262,0.49629629630000005,0.9416421987000001,6.1129999999999995,9.0,1,2.28,0.935977092
704,704,704,CaPuO3,Ca,Pu,0,element not in BV,element not in BV,1.34,0.83,orthorhombic,-3.343,-0.109,0.8,14.65,1.928,5.794,6.021,8.399,90,90,90,-,0.6148148148,0.8725308447,6.1129999999999995,6.06,1,1.28,0.868821785
711,711,711,CaSiO3,Ca,Si,0,2,4,1.34,0.4,rhombohedral,-3.058,0.234,-,9.159,4.339,5.054,5.054,5.054,60.1,60.1,60.1,6.171,0.2962962963,1.0869241379,6.1129999999999995,8.151,1,1.9,1.0763736557999999
713,713,713,CaSnO3,Ca,Sn,1,2,4,1.34,0.69,orthorhombic,-2.531,0.015,-,12.503,2.74,5.529,5.706,7.927,90,90,90,3.479,0.5111111111,0.9324104124,6.1129999999999995,7.343999999999999,1,1.96,0.9270203734
719,719,719,CaThO3,Ca,Th,0,2,4,1.34,0.94,cubic,-3.203,0.617,0,18.935,1.603,4.558,4.558,4.558,90,90,90,5.025,0.6962962963,0.8306188827,6.1129999999999995,6.08,1,1.3,0.8279797352
720,720,720,CaTiO3,Ca,Ti,1,2,4,1.34,0.61,orthorhombic,-3.367,-0.046,0,11.199,2.356,5.355,5.478,7.635,90,90,90,5.068,0.4518518519,0.9704679803,6.1129999999999995,6.82,1,1.54,0.9639167067000001
724,724,724,CaVO3,Ca,V,1,2,4,1.34,0.58,orthorhombic,-2.901,-0.014,0.2,10.892,0.435,5.28,5.432,7.594,90,90,90,3.563,0.4296296296,0.9855529748,6.1129999999999995,6.74,1,1.63,0.9785215053
729,729,729,CaZrO3,Ca,Zr,1,2,4,1.34,0.72,orthorhombic,-3.517,-0.059,0,12.962,4.083,5.582,5.787,8.025,90,90,90,6.012,0.5333333333,0.9188972181,6.1129999999999995,6.84,1,1.33,0.9139021606000001
736,736,736,CdBaO3,Cd,Ba,0,not balanced,not balanced,1.31,1.35,orthorhombic,-1.535,0.23,-,17.186,0.843,6.481,6.492,8.169,90,90,90,-6.3,1.0,0.6966311251999999,8.993,5.212000000000001,1.69,0.89,0.6968215916
743,743,743,CdCrO3,Cd,Cr,0,2,4,1.31,0.55,orthorhombic,-1.684,0.138,0.4,10.58,0.336,5.255,5.359,7.514,90,90,90,0.721,0.40740740740000003,0.9899494937000001,8.993,6.766,1.69,1.66,0.9826971164
752,752,752,CdGeO3,Cd,Ge,1,2,4,1.31,0.53,orthorhombic,-1.588,0.114,-,10.494,1.201,5.259,5.32,7.501,90,90,90,3.067,0.39259259259999996,1.0004808713,8.993,7.899,1.69,2.01,0.9928805062
753,753,753,CdHfO3,Cd,Hf,0,2,4,1.31,0.71,rhombohedral,-2.773,0.025,0,12.535,2.653,5.665,5.665,5.665,58.9,58.9,58.9,2.526,0.5259259259000001,0.9130602126,8.993,6.65,1.69,1.3,0.9081797995
763,763,763,CdMnO3,Cd,Mn,0,2,4,1.31,0.53,orthorhombic,-1.514,0.1,0.6,10.496,0.229,5.259,5.338,7.478,90,90,90,0.247,0.39259259259999996,1.0004808713,8.993,7.435,1.69,1.55,0.9928805062
771,771,771,CdPaO3,Cd,Pa,0,element not in BV,element not in BV,1.31,0.91,rhombohedral,-2.367,-0.013,0.2,15.768,0.51,6.159,6.159,6.159,58,58,58,4.126,0.6740740741,0.8322584239,8.993,5.89,1.69,1.5,0.8295495139
776,776,776,CdPtO3,Cd,Pt,0,element not in BV,element not in BV,1.31,0.67,orthorhombic,-0.903,0.062,0.001,11.619,0.702,5.418,5.558,7.717,90,90,90,-0.55,0.49629629630000005,0.9311406128,8.993,9.0,1.69,2.28,0.9257291676
777,777,777,CdPuO3,Cd,Pu,0,element not in BV,element not in BV,1.31,0.83,orthorhombic,-2.495,-0.044,0.8,14.211,1.77,5.726,5.903,8.408,90,90,90,2.051,0.6148148148,0.8628000173999999,8.993,6.06,1.69,1.28,0.8593091377
786,786,786,CdSnO3,Cd,Sn,1,2,4,1.31,0.69,orthorhombic,-1.674,0.03,-,12.337,1.055,5.504,5.636,7.954,90,90,90,2.754,0.5111111111,0.9220117833,8.993,7.343999999999999,1.69,1.96,0.9168705153
787,787,787,CdSrO3,Cd,Sr,0,not balanced,not balanced,1.31,1.18,orthorhombic,-1.605,0.185,-,15.141,1.029,6.266,6.309,7.66,90,90,90,-6.095,0.8740740740999999,0.7434403312000001,8.993,5.695,1.69,0.95,0.7427361926
793,793,793,CdTiO3,Cd,Ti,1,2,4,1.31,0.61,orthorhombic,-2.435,0.046,0,10.987,2.225,5.299,5.449,7.61,90,90,90,3.466,0.4518518519,0.9596449173,8.993,6.82,1.69,1.54,0.9533628741
796,796,796,CdUO3,Cd,U,0,2,4,1.31,0.89,orthorhombic,-2.67,0.116,0.4,14.798,1.056,5.794,5.967,8.561,90,90,90,4.083,0.6592592593,0.8396893027,8.993,6.05,1.69,1.38,0.8367944878
797,797,797,CdVO3,Cd,V,0,2,4,1.31,0.58,orthorhombic,-1.982,0.051,0.2,10.805,0.659,5.282,5.34,7.661,90,90,90,2.427,0.4296296296,0.9745616776999999,8.993,6.74,1.69,1.63,0.9678077662000001
802,802,802,CdZrO3,Cd,Zr,0,2,4,1.31,0.72,orthorhombic,-2.635,0.039,0,12.756,2.77,5.534,5.726,8.05,90,90,90,1.752,0.5333333333,0.9086492937,8.993,6.84,1.69,1.33,0.9038959326
805,805,805,CeAlO3,Ce,Al,1,3,3,1.34,0.54,rhombohedral,-3.479,-0.086,0,10.924,3.795,5.36,5.36,5.36,60.1,60.1,60.1,6.49,0.4,1.0064112388,5.54,5.986000000000001,1.12,1.61,0.9986972064
807,807,807,CeAuO3,Ce,Au,0,element not in BV,element not in BV,1.24,0.93,orthorhombic,-1.918,-0.017,0,14.164,0.925,5.756,6.584,7.476,90,90,90,0.265,0.6888888889,0.8032484927,5.54,9.225,1.12,2.54,0.8011853658
808,808,808,CeBO3,Ce,B,0,4,2,1.14,0.27,cubic,-2.358,0.916,-0.001,9.283,1.934,3.594,3.594,3.594,90,90,90,4.741,0.2,1.0868493118,5.54,8.298,1.12,2.04,1.075479775
814,814,814,Ce2O3,Ce,Ce,0,3,3,1.34,1.01,cubic,-2.604,0.916,0,18.959,0.816,4.56,4.56,4.56,90,90,90,2.825,0.7481481481000001,0.8059818819,5.54,5.54,1.12,1.12,0.8039305312999999
816,816,816,CeCrO3,Ce,Cr,1,3,3,1.34,0.62,orthorhombic,-3.082,-0.081,0.6,12.068,2.196,5.511,5.597,7.825,90,90,90,4.832,0.4592592593,0.9655417468999999,5.54,6.766,1.12,1.66,0.9591448418
819,819,819,CeDyO3,Ce,Dy,0,3,3,1.34,0.91,orthorhombic,-3.65,0.035,0,15.149,5.054,5.856,6.095,8.488,90,90,90,4.606,0.6740740741,0.8416447971,5.54,5.94,1.12,1.22,0.8387327188
820,820,820,CeErO3,Ce,Er,0,3,3,1.34,0.89,orthorhombic,-3.686,0.023,0,14.812,4.972,5.815,6.057,8.411,90,90,90,4.842,0.6592592593,0.8491594828,5.54,6.101,1.12,1.24,0.8460578954000001
822,822,822,CeFeO3,Ce,Fe,1,3,3,1.34,0.65,orthorhombic,-2.669,-0.084,1,12.214,1.144,5.518,5.642,7.847,90,90,90,4.094,0.4814814815,0.9510586206999999,5.54,7.87,1.12,1.83,0.9451085758
823,823,823,CeGaO3,Ce,Ga,1,3,3,1.34,0.62,orthorhombic,-2.853,-0.043,0,11.912,3.706,5.507,5.545,7.802,90,90,90,5.033,0.4592592593,0.9655417468999999,5.54,5.999,1.12,1.81,0.9591448418
824,824,824,CeGdO3,Ce,Gd,0,3,3,1.34,0.94,cubic,-3.055,0.601,0,16.458,1.632,4.35,4.35,4.35,90,90,90,4.348,0.6962962963,0.8306188827,5.54,6.15,1.12,1.2,0.8279797352
828,828,828,CeHoO3,Ce,Ho,0,3,3,1.34,0.9,orthorhombic,-3.669,0.028,0,14.992,4.92,5.836,6.076,8.456,90,90,90,4.722,0.6666666667,0.8453854406,5.54,6.018,1.12,1.23,0.8423793828
829,829,829,CeInO3,Ce,In,0,3,3,1.34,0.8,orthorhombic,-2.686,-0.004,0,14.1,2.961,5.713,5.985,8.249,90,90,90,3.53,0.5925925926,0.8847056937000001,5.54,5.7860000000000005,1.12,1.78,0.8806693548000001
830,830,830,CeIrO3,Ce,Ir,0,3,3,1.34,0.68,orthorhombic,-2.152,0.087,0,12.777,0.99,5.443,5.938,7.906,90,90,90,0.432,0.5037037037,0.9370035672,5.54,9.1,1.12,2.2,0.9314772021
832,832,832,CeLaO3,Ce,La,0,3,3,1.34,1.03,cubic,-2.726,0.89,0,18.764,0.482,4.544,4.544,4.544,90,90,90,2.756,0.762962963,0.799208925,5.54,5.58,1.12,1.1,0.7973138191
834,834,834,CeLuO3,Ce,Lu,1,3,3,1.34,0.86,orthorhombic,-3.736,0.005,0,14.375,5.074,5.767,5.994,8.318,90,90,90,5.161,0.637037037,0.8606865345999999,5.54,5.4259,1.12,1.27,0.8572887523999999
840,840,840,CeNdO3,Ce,Nd,0,3,3,1.34,0.98,cubic,-2.776,0.795,0,17.971,1.055,4.479,4.479,4.479,90,90,90,3.435,0.7259259259,0.8163593311,5.54,5.53,1.12,1.14,0.8140641094
848,848,848,CePrO3,Ce,Pr,0,3,3,1.34,0.99,cubic,-2.697,0.852,0,18.434,0.879,4.517,4.517,4.517,90,90,90,3.116,0.7333333333,0.812870616,5.54,5.46,1.12,1.13,0.8106579835
851,851,851,CeRbO3,Ce,Rb,0,not balanced,not balanced,1.24,1.52,orthorhombic,-2.041,0.288,0,19.672,1.058,6.588,6.627,9.011,90,90,90,-2.543,1.1259259259,0.6381207538,5.54,4.177,1.12,0.82,0.6393020213
853,853,853,CeRhO3,Ce,Rh,0,3,3,1.34,0.67,orthorhombic,-2.288,-0.061,0,12.631,0.671,5.469,5.852,7.893,90,90,90,1.093,0.49629629630000005,0.9416421987000001,5.54,7.46,1.12,2.28,0.935977092
856,856,856,CeScO3,Ce,Sc,0,3,3,1.34,0.75,orthorhombic,-3.701,-0.038,0,13.251,4.42,5.638,5.828,8.066,90,90,90,5.523,0.5555555556,0.9057701148999999,5.54,6.54,1.12,1.36,0.9011500374
858,858,858,CeSmO3,Ce,Sm,0,3,3,1.34,0.96,cubic,-2.913,0.697,0,17.21,1.261,4.415,4.415,4.415,90,90,90,3.924,0.7111111111,0.8234273772,5.54,5.64,1.12,1.17,0.8209629578000001
867,867,867,CeTlO3,Ce,Tl,0,3,3,1.34,0.89,orthorhombic,-2.197,0.032,0,15.189,1.079,5.81,6.185,8.453,90,90,90,1.325,0.6592592593,0.8491594828,5.54,6.108,1.12,1.62,0.8460578954000001
868,868,868,CeTmO3,Ce,Tm,1,3,3,1.34,0.88,orthorhombic,-3.711,0.015,0,14.65,5.086,5.798,6.03,8.381,90,90,90,4.953,0.6518518519,0.8529673728,5.54,6.184,1.12,1.25,0.8497686756
870,870,870,CeVO3,Ce,V,1,3,3,1.34,0.64,orthorhombic,-3.159,-0.084,0.4,12.42,1.109,5.528,5.711,7.868,90,90,90,4.542,0.47407407409999996,0.9558378097,5.54,6.74,1.12,1.63,0.9497414609999999
872,872,872,CeYO3,Ce,Y,0,3,3,1.34,0.9,cubic,-3.136,0.528,0,15.905,1.935,4.3,4.3,4.3,90,90,90,4.567,0.6666666667,0.8453854406,5.54,6.38,1.12,1.22,0.8423793828
876,876,876,CoAcO3,Co,Ac,0,element not in BV,element not in BV,0.9,1.12,rhombohedral,-2.379,0.047,0.8,16.496,1.665,6.399,6.399,6.399,55.3,55.3,55.3,-,0.8296296296,0.6441256103999999,7.86,5.17,1.88,1.1,0.6453752368
887,887,887,CoCeO3,Co,Ce,0,3,3,0.61,1.01,orthorhombic,-2.281,0.141,0.8,15.922,1.578,5.549,6.416,8.943,90,90,90,-5.095,0.7481481481000001,0.5872581742,7.86,5.54,1.88,1.12,0.5897446598
892,892,892,CoDyO3,Co,Dy,0,3,3,0.61,0.91,rhombohedral,-2.431,0.121,0.799,13.398,1.607,5.988,5.988,5.988,55,55,55,-4.651,0.6740740741,0.6132430492000001,7.86,5.94,1.88,1.22,0.6152747317
898,898,898,CoGeO3,Co,Ge,0,2,4,0.9,0.53,cubic,-1.14,0.551,0.6,10.046,0.867,3.69,3.69,3.69,90,90,90,1.515,0.39259259259999996,0.8462714137,7.86,7.899,1.88,2.01,0.8426661123
901,901,901,CoHoO3,Co,Ho,0,3,3,0.61,0.9,rhombohedral,-2.442,0.122,0.799,13.237,1.554,5.971,5.971,5.971,54.8,54.8,54.8,-,0.6666666667,0.6159685738,7.86,6.018,1.88,1.23,0.6179498392
905,905,905,CoLaO3,Co,La,0,3,3,0.61,1.03,rhombohedral,-2.408,0.097,-0.799,15.502,1.7,6.343,6.343,6.343,54,54,54,-,0.762962963,0.5823232316,7.86,5.58,1.88,1.1,0.5848907943
911,911,911,CoNaO3,Co,Na,0,not balanced,not balanced,0.9,1.02,rhombohedral,-1.013,0.289,0.4,12.852,1.249,5.75,5.75,5.75,58.1,58.1,58.1,-10.09,0.7555555556,0.6713039062,7.86,5.138999999999999,1.88,0.93,0.672043635
913,913,913,CoNdO3,Co,Nd,0,3,3,0.61,0.98,rhombohedral,-2.336,0.122,0.8,14.725,1.597,6.174,6.174,6.174,55.1,55.1,55.1,-,0.7259259259,0.5948194383,7.86,5.53,1.88,1.14,0.597178416
917,917,917,CoPaO3,Co,Pa,0,element not in BV,element not in BV,0.9,0.91,tetragonal,-2.11,0.247,0,16.793,0.509,4.274,4.432,4.432,90,90,90,-,0.6740740741,0.7039779901000001,7.86,5.89,1.88,1.5,0.7040457129000001
921,921,921,CoPrO3,Co,Pr,0,3,3,0.61,0.99,rhombohedral,-2.319,0.096,0.8,15.044,1.693,6.229,6.229,6.229,54.9,54.9,54.9,-,0.7333333333,0.5922774747999999,7.86,5.46,1.88,1.13,0.5946797615999999
924,924,924,CoRbO3,Co,Rb,0,not balanced,not balanced,0.9,1.52,rhombohedral,-1.077,0.141,0.4,18.998,1.641,6.419,6.419,6.419,60.7,60.7,60.7,-,1.1259259259,0.5543520062,7.86,4.177,1.88,0.82,0.5569676701
930,930,930,CoSiO3,Co,Si,0,2,4,0.9,0.4,cubic,-1.853,0.515,0.599,8.646,1.149,3.51,3.51,3.51,90,90,90,3.962,0.2962962963,0.9091372901000001,7.86,8.151,1.88,1.9,0.9035253315
931,931,931,CoSmO3,Co,Sm,0,3,3,0.61,0.96,orthorhombic,-2.295,0.192,0.8,13.19,1.133,5.512,5.625,8.508,90,90,90,-,0.7111111111,0.5999693900999999,7.86,5.64,1.88,1.17,0.6022392501
932,932,932,CoSnO3,Co,Sn,0,2,4,0.9,0.69,cubic,-0.997,0.673,0.6,12.812,0.36,4.001,4.001,4.001,90,90,90,-,0.5111111111,0.7798971851000001,7.86,7.343999999999999,1.88,1.96,0.7781557879000001
939,939,939,CoTiO3,Co,Ti,0,2,4,0.9,0.61,cubic,-1.963,0.525,0.6,11.159,0.677,3.821,3.821,3.821,90,90,90,1.218,0.4518518519,0.8117297232999999,7.86,6.82,1.88,1.54,0.8091271626000001
940,940,940,CoTlO3,Co,Tl,0,3,3,0.61,0.89,rhombohedral,-0.891,0.205,0.798,13.149,0.558,5.829,5.829,5.829,57.3,57.3,57.3,-3.062,0.6592592593,0.6187184335,7.86,6.108,1.88,1.62,0.6206483101
945,945,945,CoYO3,Co,Y,0,3,3,0.61,0.9,rhombohedral,-2.413,0.118,0.8,13.471,1.763,5.999,5.999,5.999,54.9,54.9,54.9,-4.168,0.6666666667,0.6159685738,7.86,6.38,1.88,1.22,0.6179498392
949,949,949,CrAcO3,Cr,Ac,0,element not in BV,element not in BV,0.57,1.12,rhombohedral,-2.79,0.348,0.6,16.754,1.802,6.388,6.388,6.388,56.1,56.1,56.1,-4.273,0.8296296296,0.5496538542,6.766,5.17,1.66,1.1,0.5527779202
955,955,955,CrBaO3,Cr,Ba,0,not balanced,not balanced,0.57,1.35,orthorhombic,-2.445,0.14,0.4,15.958,1.275,5.018,5.889,10.801,90,90,90,-,1.0,0.5028314888000001,6.766,5.212000000000001,1.66,0.89,0.5065455851
957,957,957,CrBiO3,Cr,Bi,0,not balanced,not balanced,0.57,0.9,rhombohedral,-1.648,0.33,0.6,15.008,0.703,6.205,6.205,6.205,55.2,55.2,55.2,-,0.6666666667,0.6033977866,6.766,7.289,1.66,2.02,0.60565233
958,958,958,CrCaO3,Cr,Ca,0,not balanced,not balanced,0.57,1.0,orthorhombic,-2.452,0.213,0.4,12.774,1.198,5.466,5.481,8.527,90,90,90,-,0.7407407407,0.5777212851,6.766,6.1129999999999995,1.66,1,0.5804168162
960,960,960,CrCeO3,Cr,Ce,0,2,4,0.8,0.87,rhombohedral,-2.713,0.369,0.6,15.568,1.726,6.225,6.225,6.225,56.2,56.2,56.2,-5.24,0.6444444443999999,0.6848106214,6.766,5.54,1.66,1.12,0.6853017263
970,970,970,CrGdO3,Cr,Gd,0,not balanced,not balanced,0.57,0.94,rhombohedral,-2.842,0.343,0.6,14.076,1.599,6.077,6.077,6.077,55.1,55.1,55.1,-5.024,0.6962962963,0.5928580873,6.766,6.15,1.66,1.2,0.5952992987
978,978,978,CrLaO3,Cr,La,0,not balanced,not balanced,0.57,1.03,rhombohedral,-2.821,0.347,0.6,15.593,1.759,6.264,6.264,6.264,55.6,55.6,55.6,-4.876,0.762962963,0.570439084,6.766,5.58,1.66,1.1,0.5732511765
984,984,984,CrNaO3,Cr,Na,0,5,1,0.57,1.02,orthorhombic,-1.835,0.178,0.199,12.402,1.077,5.219,5.228,9.089,90,90,90,-8.454,0.7555555556,0.5728459999000001,6.766,5.138999999999999,1.66,0.93,0.575619983
986,986,986,CrNdO3,Cr,Nd,0,not balanced,not balanced,0.57,0.98,rhombohedral,-2.757,0.364,0.6,14.921,1.526,6.143,6.143,6.143,56.1,56.1,56.1,-5.414,0.7259259259,0.582680266,6.766,5.53,1.66,1.14,0.5852942685
988,988,988,CrNpO3,Cr,Np,0,element not in BV,element not in BV,0.57,0.86,orthorhombic,-2.849,0.234,1.4,13.382,1.711,5.474,5.787,8.449,90,90,90,0.952,0.637037037,0.6143190135000001,6.766,6.19,1.66,1.36,0.6163718402
990,990,990,CrPaO3,Cr,Pa,0,element not in BV,element not in BV,0.57,0.91,rhombohedral,-2.597,0.09,1,14.44,1.247,5.985,5.985,5.985,57.9,57.9,57.9,5.275,0.6740740741,0.6007278849000001,6.766,5.89,1.66,1.5,0.6030304584
994,994,994,CrPrO3,Cr,Pr,0,2,4,0.8,0.85,rhombohedral,-2.737,0.367,0.6,15.218,1.798,6.182,6.182,6.182,56.1,56.1,56.1,-5.186,0.6296296296,0.6910361725,6.766,5.46,1.66,1.13,0.6913932972
996,996,996,CrPuO3,Cr,Pu,0,element not in BV,element not in BV,0.57,0.83,orthorhombic,-2.792,0.329,1.6,13.547,0.404,5.721,5.752,8.233,90,90,90,-,0.6148148148,0.6227729449,6.766,6.06,1.66,1.28,0.6246638381
1004,1004,1004,CrSmO3,Cr,Sm,0,not balanced,not balanced,0.57,0.96,rhombohedral,-2.799,0.352,0.6,14.555,1.635,6.143,6.143,6.143,55.2,55.2,55.2,-5.258,0.7111111111,0.5877251168,6.766,5.64,1.66,1.17,0.5902543894
1006,1006,1006,CrSrO3,Cr,Sr,0,not balanced,not balanced,0.57,1.18,orthorhombic,-2.443,0.159,0.4,14.672,1.367,5.503,5.603,9.517,90,90,90,-14.856,0.8740740740999999,0.5366185849,6.766,5.695,1.66,0.95,0.5399226197
1012,1012,1012,CrTiO3,Cr,Ti,0,2,4,0.8,0.61,orthorhombic,-2.743,0.062,0.8,10.181,0.326,5.067,5.35,7.511,90,90,90,1.738,0.4518518519,0.7756528467,6.766,6.82,1.66,1.54,0.7739477207
1013,1013,1013,CrTlO3,Cr,Tl,0,not balanced,not balanced,0.57,1.2,orthorhombic,-1.402,0.307,0.6,12.364,0.634,5.379,5.506,8.35,90,90,90,-5.53,0.8888888889,0.5324098117,6.766,6.108,1.66,1.62,0.5357693688
1058,1058,1058,CsNbO3,Cs,Nb,0,1,5,1.88,0.64,tetragonal,-2.601,0.075,0,16.947,1.792,3.95,3.95,5.431,90,90,90,4.366,0.47407407409999996,1.1477160318000001,3.8939999999999997,6.88,0.79,1.6,1.1369167854
1061,1061,1061,CsNpO3,Cs,Np,0,element not in BV,element not in BV,1.88,0.86,rhombohedral,-2.767,-0.056,0.4,17.012,1.131,6.238,6.238,6.238,59.6,59.6,59.6,1.176,0.637037037,1.0334637570999998,3.8939999999999997,6.19,0.79,1.36,1.02624347
1063,1063,1063,CsPaO3,Cs,Pa,0,element not in BV,element not in BV,1.88,0.91,orthorhombic,-2.871,-0.298,0,17.747,3.798,6.308,6.309,8.919,90,90,90,5.841,0.6740740741,1.0105995147,3.8939999999999997,5.89,0.79,1.5,1.0040304079
1080,1080,1080,CsTaO3,Cs,Ta,0,1,5,1.88,0.64,tetragonal,-2.796,0.049,0,16.951,2.565,3.905,3.905,5.558,90,90,90,-,0.47407407409999996,1.1477160318000001,3.8939999999999997,7.89,0.79,1.5,1.1369167854
1088,1088,1088,CsUO3,Cs,U,0,1,5,1.88,0.76,orthorhombic,-3.045,0.01,0.2,17.228,2.721,6.245,6.245,8.834,90,90,90,4.067,0.5629629629999999,1.0824430821,3.8939999999999997,6.05,0.79,1.38,1.0737547418
1095,1095,1095,CuAcO3,Cu,Ac,0,element not in BV,element not in BV,0.68,1.12,rhombohedral,-2.023,0.218,0.401,16.494,0.297,6.531,6.531,6.531,53.1,53.1,53.1,-2.485,0.8296296296,0.5811444396000001,7.726,5.17,1.9,1.1,0.5836436924
1106,1106,1106,CuCeO3,Cu,Ce,0,not balanced,not balanced,0.68,0.94,rhombohedral,-1.953,0.204,0.4,15.973,0.464,6.703,6.703,6.703,49.4,49.4,49.4,-4.235,0.6962962963,0.6268239152,7.726,5.54,1.9,1.12,0.6285393611
1111,1111,1111,CuDyO3,Cu,Dy,0,not balanced,not balanced,0.68,0.99,rhombohedral,-2.062,0.267,0.4,13.329,0.373,6.017,6.017,6.017,54.2,54.2,54.2,-3.666,0.7333333333,0.6134302417999999,7.726,5.94,1.9,1.22,0.615390002
