,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor,A rs,A rp,A rd,B rs,B rp,B rd,B EA,B s total,B p total,B d total,B f total
48,48,48,48,48,AcRbO3,Ac,Rb,0,element not in BV,element not in BV,1.12,1.52,orthorhombic,-1.914,0.444,0,20.923,0.599,5.98,6.089,11.491,90,90,90,-2.002,1.1259259259,0.6085553134,5.17,4.177,1.1,0.82,0.6085553134,,,,1.67,2.43,0.71,0.48592,9,18,10,0
49,49,49,49,49,AcReO3,Ac,Re,0,element not in BV,element not in BV,1.12,0.57,orthorhombic,-2.286,0.273,0.215,13.361,0,5.556,5.978,8.046,90,90,90,2.924,0.4222222222,0.9096634112,5.17,7.88,1.1,1.9,0.9096634112,,,,1.19,1.49,0.565,0.15,12,24,24,14
50,50,50,50,50,AcRhO3,Ac,Rh,0,element not in BV,element not in BV,1.12,0.61,orthorhombic,-2.334,-0.077,0,13.23,0.604,5.635,5.837,8.046,90,90,90,1.899,0.4518518519,0.8910988518,5.17,7.46,1.1,2.28,0.8910988518,,,,1.11,1.41,0.42,1.137,9,18,18,0
51,51,51,51,51,AcRuO3,Ac,Ru,0,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.345,0.015,0.197,13.161,0,5.619,5.835,8.029,90,90,90,2.787,0.4592592593,0.8865755073999999,5.17,7.37,1.1,2.2,0.8865755073999999,,,,1.145,1.46,0.45,1.05,9,18,17,0
52,52,52,52,52,AcSbO3,Ac,Sb,0,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.465,0.114,0,16.31,0.296,5.98,6.327,8.621,90,90,90,2.835,0.5037037037,0.8603713051999999,5.17,8.641,1.1,2.05,0.8603713051999999,,,,0.83,0.935,0.335,1.046,10,21,20,0
53,53,53,53,53,AcScO3,Ac,Sc,0,element not in BV,element not in BV,1.12,0.75,orthorhombic,-3.762,-0.068,0,13.854,4.099,5.782,5.844,8.201,90,90,90,6.193,0.5555555556,0.8316922617,5.17,6.54,1.1,1.36,0.8316922617,,,,1.22,1.53,0.31,0.188,8,12,1,0
54,54,54,54,54,AcSiO3,Ac,Si,0,element not in BV,element not in BV,1.12,0.4,tetragonal,-2.778,0.395,0,12.758,0,3.79,3.79,4.442,90,90,90,4.34,0.2962962963,0.9980307140000001,5.17,8.151,1.1,1.9,0.9980307140000001,,,,0.68,0.74,,1.389522,6,8,0,0
55,55,55,55,55,AcSmO3,Ac,Sm,0,element not in BV,element not in BV,1.12,0.96,orthorhombic,-3.608,0.033,0,16.756,4.287,6.08,6.293,8.759,90,90,90,4.949,0.7111111111,0.7560838743000001,5.17,5.64,1.1,1.17,0.7560838743000001,,,,,,,,12,24,20,5
56,56,56,56,56,AcSnO3,Ac,Sn,0,element not in BV,element not in BV,1.12,0.69,orthorhombic,-2.582,0.101,0,15.772,0,5.942,6.208,8.551,90,90,90,3.025,0.5111111111,0.8561537988,5.17,7.3439999999999985,1.1,1.96,0.8561537988,,,,0.88,1.0,0.345,1.112067,10,20,20,0
57,57,57,57,57,AcSrO3,Ac,Sr,0,element not in BV,element not in BV,1.12,1.18,cubic,-2.247,0.78,-0.006,17.587,0,4.447,4.447,4.447,90,90,90,-1.505,0.8740740740999999,0.6903374504,5.17,5.695,1.1,0.95,0.6903374504,,,,1.42,1.79,0.633,0.048,10,18,10,0
