Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor
DyAcO3,Dy,Ac,FALSE,element not in BV,element not in BV,1.08,1.12,cubic,-2.161,1.554,0,20.224,0,4.659,4.659,4.659,90,90,90,0.805,O,1.385,0.6958156549
DyAgO3,Dy,Ag,FALSE,not balanced,not balanced,1.08,0.95,cubic,-1.432,0.605,0,12.953,0,4.016,4.016,4.016,90,90,90,-0.565,O,1.385,0.7464746105
DyAlO3,Dy,Al,TRUE,3,3,1.08,0.54,orthorhombic,-3.588,-0.03,0,10.198,6.026,5.175,5.338,7.383,90,90,90,6.313,O,1.385,0.9054640081
DyAsO3,Dy,As,FALSE,3,3,1.08,0.58,cubic,-1.907,0.782,0,12.687,0,3.988,3.988,3.988,90,90,90,2.144,O,1.385,0.8870321708
DyAuO3,Dy,Au,FALSE,element not in BV,element not in BV,1.08,0.93,cubic,-1.292,0.774,0,13.694,0,4.091,4.091,4.091,90,90,90,-0.674,O,1.385,0.7529236353
DyBO3,Dy,B,FALSE,not balanced,not balanced,1.08,0.27,cubic,-2.526,0.836,0,8.244,3.002,3.454,3.454,3.454,90,90,90,5.458,O,1.385,1.0531832119
DyBaO3,Dy,Ba,FALSE,not balanced,not balanced,1.08,1.35,orthorhombic,-2.831,0.269,0.201,18.45,0.638,6.509,6.787,8.353,90,90,90,-7.677,O,1.385,0.6373009929
DyBeO3,Dy,Be,FALSE,not balanced,not balanced,1.08,0.45,tetragonal,-2.799,0.312,0.042,9.515,0,3.311,3.311,4.341,90,90,90,-0.941,O,1.385,0.949873687
DyBiO3,Dy,Bi,FALSE,not balanced,not balanced,1.08,0.9,cubic,-1.518,1.144,0,16.579,0,4.36,4.36,4.36,90,90,90,0.786,O,1.385,0.7628088471
DyCaO3,Dy,Ca,FALSE,not balanced,not balanced,1.08,1,cubic,-2.141,1.075,0.2,13.605,0,4.082,4.082,4.082,90,90,90,-2.929,O,1.385,0.7308252476
