,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor,A_EN,B_EN,C_EN
97,AgHgO3,Ag,Hg,False,not balanced,not balanced,1.28,1.11,cubic,0.409,0.703,-,14.36,0,4.156,4.156,4.156,90,90,90,-3.166,O,1.385,0.7552864015,1.93,2,3.44
98,AgHoO3,Ag,Ho,False,not balanced,not balanced,1.28,0.9,cubic,-1.362,0.688,0.03,15.995,0,4.308,4.308,4.308,90,90,90,-3.272,O,1.385,0.8247000314,1.93,1.23,3.44
99,AgInO3,Ag,In,False,not balanced,not balanced,1.28,0.8,cubic,-0.391,0.643,-,14.198,0,4.141,4.141,4.141,90,90,90,-3.35,O,1.385,0.86244374,1.93,1.78,3.44
100,AgIrO3,Ag,Ir,False,1,5,1.28,0.57,rhombohedral,-0.591,0.154,0.007,11.313,0,5.367,5.367,5.367,61.6,61.6,61.6,1.233,O,1.385,0.9639077093999999,1.93,2.2,3.44
101,AgKO3,Ag,K,False,not balanced,not balanced,1.28,1.38,cubic,1.006,1.761,-,16.199,0,4.327,4.327,4.327,90,90,90,-4.658,O,1.385,0.681533299,1.93,0.82,3.44
102,AgLaO3,Ag,La,False,not balanced,not balanced,1.28,1.03,orthorhombic,-1.707,0.261,0.089,15.011,0,5.835,6.067,8.48,90,90,90,-2.616,O,1.385,0.7803062409,1.93,1.1,3.44
103,AgLiO3,Ag,Li,False,not balanced,not balanced,1.28,0.76,cubic,0.105,0.926,-,9.602,0,3.635,3.635,3.635,90,90,90,-5.547,O,1.385,0.8785266069,1.93,0.98,3.44
104,AgLuO3,Ag,Lu,False,not balanced,not balanced,1.28,0.86,cubic,-1.528,0.565,-0.4,15.37,0,4.252,4.252,4.252,90,90,90,-2.317,O,1.385,0.8393940186,1.93,1.27,3.44
105,AgMgO3,Ag,Mg,False,not balanced,not balanced,1.28,0.72,cubic,-0.609,0.694,-,11.551,0,3.865,3.865,3.865,90,90,90,-3.823,O,1.385,0.8952206992,1.93,1.31,3.44
106,AgMnO3,Ag,Mn,False,not balanced,not balanced,1.28,0.62,orthorhombic,-1.013,0.151,0.596,10.451,0,5.328,5.333,7.356,90,90,90,-0.942,O,1.385,0.9398701106999999,1.93,1.55,3.44
107,AgMoO3,Ag,Mo,False,1,5,1.28,0.61,cubic,-1.548,0.182,0,11.963,0,3.911,3.911,3.911,90,90,90,4.381,O,1.385,0.944581239,1.93,2.16,3.44
108,AgNaO3,Ag,Na,False,not balanced,not balanced,1.28,1.02,cubic,0.624,1.373,-,13.092,0,4.03,4.03,4.03,90,90,90,-9.782,O,1.385,0.7835507575,1.93,0.93,3.44
109,AgNbO3,Ag,Nb,True,1,5,1.28,0.64,rhombohedral,-2.009,0.043,0,12.263,1.269,5.611,5.611,5.611,59.2,59.2,59.2,4.672,O,1.385,0.9305874429000001,1.93,1.6,3.44
110,AgNdO3,Ag,Nd,False,not balanced,not balanced,1.28,0.98,cubic,-1.152,0.827,0.013,17.662,0,4.453,4.453,4.453,90,90,90,-3.549,O,1.385,0.7968032016,1.93,1.14,3.44
111,AgNiO3,Ag,Ni,False,not balanced,not balanced,1.28,0.59,orthorhombic,-0.377,0.232,0.006,10.196,0,5.118,5.377,7.41,90,90,90,-1.927,O,1.385,0.9541466187000001,1.93,1.91,3.44
112,AgNpO3,Ag,Np,False,element not in BV,element not in BV,1.28,0.86,orthorhombic,-2.246,0.086,0.4,14.282,1.698,5.694,6.003,8.356,90,90,90,1.048,O,1.385,0.8393940186,1.93,1.36,3.44
113,AgOsO3,Ag,Os,False,element not in BV,element not in BV,1.28,0.57,rhombohedral,-0.801,0.18,0.077,11.258,0,5.379,5.379,5.379,61,61,61,3.043,O,1.385,0.9639077093999999,1.93,2.2,3.44
114,AgPaO3,Ag,Pa,False,element not in BV,element not in BV,1.28,0.91,rhombohedral,-2.326,-0.361,0,14.961,2.571,6.043,6.043,6.043,58.2,58.2,58.2,4.367,O,1.385,0.8211065673000001,1.93,1.5,3.44
115,AgPbO3,Ag,Pb,False,not balanced,not balanced,1.28,0.99,orthorhombic,-0.668,0.106,-,13.353,0,5.484,5.809,8.382,90,90,90,-1.825,O,1.385,0.7934482408,1.93,2.33,3.44
116,AgPdO3,Ag,Pd,False,not balanced,not balanced,1.28,0.75,orthorhombic,-0.323,0.115,-,11.304,0,5.3,5.526,7.719,90,90,90,-1.906,O,1.385,0.8826414856,1.93,2.2,3.44
117,AgPmO3,Ag,Pm,False,element not in BV,element not in BV,1.28,0.97,cubic,-1.194,0.757,-0.025,17.337,0,4.426,4.426,4.426,90,90,90,-3.507,O,1.385,0.8001866546999999,1.93,-,3.44
