,0,Formation energy [eV/atom],Magnetic moment [mu_B],Radius A [ang],Radius B [ang],Stability [eV/atom],Vacancy energy [eV/O atom],Volume per atom [A^3/atom],a [ang],alpha [deg],b [ang],beta [deg],c [ang],gamma [deg],band gap (dft),band gap(ml),diff
184,,-2.487,0,1.08,0.27,0.88,5.345,8.307,3.463,90,3.463,90,3.463,90,2.953,3.0333489152,-0.0803489152
185,,-2.811,0.2,1.08,1.35,0.275,-7.335,18.577,6.515,90,6.787,90,8.403,90,0.709,0.5973941707,0.1116058293
186,,-2.772,0.031,1.08,0.45,0.318,-0.98,9.598,3.316,90,3.316,90,4.365,90,0,-0.099513225,0.099513225
187,,-1.539,0,1.08,1.03,1.102,0.981,16.599,4.362,90,4.362,90,4.362,90,0,-0.0149828003,0.0149828003
188,,-2.145,0.193,1.08,1,1.05,-2.872,13.719,4.093,90,4.093,90,4.093,90,0,0.0074883081,-0.0074883081
189,,-1.598,0,1.08,0.95,0.8,-1.002,13.719,4.093,90,4.093,90,4.093,90,0,0.0050969803,-0.0050969803
190,,-2.323,0,1.08,1.01,1.342,-2.979,18.662,4.536,90,4.536,90,4.536,90,0.389,0.1654899377,0.2235100623
191,,-3.178,0.6,1.08,0.62,-0.033,4.248,11.195,5.281,90,5.578,90,7.6,90,2.6,2.4327274214,0.1672725786
192,,-2.259,0,1.08,0.54,0.048,0.702,11.081,5.237,90,5.899,90,7.174,90,0.374,-0.1130252162,0.4870252162
193,,-2.911,0,1.08,0.91,0.918,1.026,15.491,4.263,90,4.263,90,4.263,90,1.445,1.3923834018,0.0526165982
